start_lat,start_lon,end_lat,end_lon,straight_dist_km,distance_km,hour,day_of_week,month,is_weekend,is_rush_hour,time_category,CALL_TYPE,duration_min
41.141412,-8.618643,41.154489,-8.630838,1.776807571242718,2.6510484137015866,0,0,7,0,0,malam,C,5.5
41.159826,-8.639847,41.170671,-8.66574,2.4803604609682237,3.4562685861777056,0,0,7,0,0,malam,B,4.5
41.140359,-8.612964,41.14053,-8.61597,0.25244197926112344,17.630448674938158,0,0,7,0,0,malam,C,16.0
41.151951,-8.574678,41.142915,-8.607996,2.965198720715667,7.968044571431771,0,0,7,0,0,malam,C,10.5
41.18049,-8.645994,41.178087,-8.687268,3.464589322679679,4.814325834174457,0,0,7,0,0,malam,C,7.0
41.140674,-8.615502,41.160717,-8.578224,3.8352202789938734,5.569614941042933,0,0,7,0,0,malam,C,6.25
41.145948,-8.57952,41.142816,-8.603973,2.0769967978910917,3.444477314918471,0,0,7,0,0,malam,C,8.75
41.146182,-8.617563,41.161554,-8.6247,1.8107224805931834,2.6384199950648166,0,0,7,0,0,malam,C,8.25
41.140557,-8.611794,41.163309,-8.589402,3.1488550056993647,4.450802764114437,0,0,7,0,0,malam,C,9.25
41.140557,-8.615907,41.134158,-8.604594,1.1848455312994461,1.8129178366335355,0,0,7,0,0,malam,C,4.5
41.148009,-8.619894,41.157351,-8.60949,1.3556713895272687,2.2362929259177915,0,0,7,0,0,malam,C,5.25
41.168403,-8.56242,41.164218,-8.623017,5.093740930189324,5.963810869038043,0,0,7,0,0,malam,C,10.75
41.155101,-8.618868,41.162265,-8.575065,3.752603825057194,5.830398775053096,0,0,7,0,0,malam,A,7.75
41.153499,-8.608716,41.168295,-8.632737,2.59818707741894,3.9344032153754815,0,0,7,0,0,malam,C,8.25
41.14053,-8.612208,41.15826,-8.606772,2.023344112627536,2.8236495769728425,0,0,7,0,0,malam,C,6.75
41.164857,-8.585145,41.157522,-8.628147,3.6911223611327437,16.27651936227626,0,0,7,0,0,malam,B,15.75
41.163156,-8.584263,41.142672,-8.641566,5.310912656235131,10.586067509998813,0,0,7,0,0,malam,B,16.0
41.174055,-8.666757,41.181714,-8.662554,0.9214283661907381,1.8567680592212918,0,0,7,0,0,malam,A,4.5
41.149188,-8.599239,41.169258,-8.584326,2.5571625272868306,2.7076570484343376,0,0,7,0,0,malam,C,4.0
41.168979,-8.643807,41.1786,-8.647911,1.1235996758344067,1.4744462571630934,0,0,7,0,0,malam,C,2.0
41.151303,-8.609706,41.16114,-8.621064,1.4493658612302827,1.7857447432904945,0,0,7,0,0,malam,C,3.5
41.168574,-8.660646,41.181813,-8.601894,5.132958433460952,6.891769059879991,0,0,7,0,0,malam,A,10.5
41.140377,-8.612955,41.15592,-8.60247,1.9384974884948543,3.146976890909154,0,0,7,0,0,malam,C,8.5
41.160969,-8.60418,41.167899,-8.579763,2.184383514850965,2.4788236087012283,0,0,7,0,0,malam,B,4.75
41.170626,-8.665686,41.187816,-8.654337,2.1344201291943743,2.9332294776467385,0,0,7,0,0,malam,A,6.25
41.148333,-8.648226,41.097357,-8.58825,7.574149110200821,13.128849862351673,0,0,7,0,0,malam,A,14.0
41.159592,-8.638227,41.150439,-8.611596,2.45091664775671,4.0704289751251395,1,0,7,0,0,malam,C,7.0
41.154444,-8.613243,41.166891,-8.613315,1.3840563766522989,1.7340871634645152,0,0,7,0,0,malam,B,4.25
41.149431,-8.611065,41.146839,-8.619993,0.8011869696207182,1.0081078697593728,1,0,7,0,0,malam,C,2.5
41.16285,-8.611101,41.168187,-8.59194,1.710209375752276,2.0677335239034877,0,0,7,0,0,malam,C,4.25
41.182704,-8.600067,41.147199,-8.620371,4.298288265559173,5.339743902651359,0,0,7,0,0,malam,C,11.0
41.150529,-8.610948,41.182056,-8.612748,3.508878975613187,4.550526186972387,0,0,7,0,0,malam,C,9.25
41.140827,-8.609967,41.131953,-8.641998,2.8581979615349424,4.731609207482899,0,0,7,0,0,malam,C,8.75
41.150439,-8.611389,41.163147,-8.614854,1.4425342300394772,2.0680261141592196,0,0,7,0,0,malam,C,4.0
41.159799,-8.639838,41.096412,-8.587044,8.320541391960548,12.566433983287345,0,0,7,0,0,malam,C,10.0
41.177673,-8.621523,41.164209,-8.623116,1.5030543880158567,1.835818076787943,0,0,7,0,0,malam,A,6.25
41.145894,-8.612613,41.15961,-8.604603,1.6660842213776723,1.837999208925253,0,0,7,0,0,malam,C,4.25
41.146128,-8.61255,41.145489,-8.607465,0.4316750245407412,1.2573089675536162,0,0,7,0,0,malam,B,4.75
41.173668,-8.688348,41.144184,-8.642079,5.074688404621268,9.140672489580338,0,0,7,0,0,malam,C,17.25
41.168115,-8.689329,41.158638,-8.637129,4.495010718978196,4.583360489991662,0,0,7,0,0,malam,B,6.5
41.142717,-8.574705,41.142636,-8.61552,3.417776554569739,4.27809275935777,0,0,7,0,0,malam,A,10.0
41.158368,-8.628084,41.164578,-8.645436,1.6083775533705882,2.845095411500509,0,0,7,0,0,malam,C,7.0
41.162022,-8.652933,41.151915,-8.605017,4.165965869899076,5.0085053365453645,0,0,7,0,0,malam,C,8.5
41.140431,-8.612856,41.203188,-8.693028,9.681235387563673,14.184153452732437,0,0,7,0,0,malam,C,13.25
41.180724,-8.663409,41.163426,-8.662923,1.9238799399295963,14.520436205649634,0,0,7,0,0,malam,A,36.0
41.165028,-8.648046,41.189877,-8.702928,5.36029307611345,9.173212025152758,0,0,7,0,0,malam,C,16.5
41.150358,-8.611983,41.162013,-8.605845,1.3941399949180557,4.52092264519125,1,0,7,0,0,malam,C,14.5
41.157486,-8.628363,41.153562,-8.608437,1.7243529070306496,1.9151467123306058,1,0,7,0,0,malam,B,2.75
41.15043,-8.611497,41.175639,-8.610039,2.8057688181162677,3.728721985916563,1,0,7,0,0,malam,C,6.75
41.168124,-8.689338,41.149332,-8.654067,3.617366768960524,4.485427299221391,1,0,7,0,0,malam,B,6.0
41.15439,-8.613297,41.154363,-8.645607,2.7050922964777593,3.750347825244016,0,0,7,0,0,malam,C,7.75
41.157459,-8.628354,41.149998,-8.614773,1.4075400225585541,1.830241682908145,1,0,7,0,0,malam,B,5.75
41.146803,-8.640108,41.163237,-8.583957,5.0437591560092185,8.714480451923613,0,0,7,0,0,malam,C,6.0
41.154795,-8.630568,41.164983,-8.641737,1.468886431506233,4.008497019233436,0,0,7,0,0,malam,C,9.5
41.145948,-8.612568,41.16474,-8.583174,3.2283805775887418,4.183224091916001,1,0,7,0,0,malam,B,10.0
41.163372,-8.602209,41.193315,-8.568558,4.360890406796505,14.354775193524272,0,0,7,0,0,malam,A,8.5
41.157378,-8.628327,41.164209,-8.623071,0.8778125828940904,1.3236648680612324,1,0,7,0,0,malam,B,3.75
41.140692,-8.615556,41.15394,-8.610093,1.5424962478953033,7.454790209994409,1,0,7,0,0,malam,B,12.25
